fecha,municipio,ICA_real
2025-03-28,ORUSCO DE TAJUÑA,78.6086956521739
2025-03-25,"ATAZAR, EL",78.47826086956522
2025-03-16,ARGANDA DEL REY,78.33333333333333
2025-03-09,VILLAREJO DE SALVANÉS,78.20833333333333
2025-03-14,ARGANDA DEL REY,78.16666666666667
2025-03-21,MAJADAHONDA,78.10526315789474
2025-03-08,ARANJUEZ,78.04166666666667
2025-03-20,ALGETE,77.95833333333333
2025-03-15,ORUSCO DE TAJUÑA,77.95833333333333
2025-03-21,VALDEMORO,77.70833333333333
2025-03-22,GUADALIX DE LA SIERRA,77.45833333333333
2025-03-26,ALGETE,77.41666666666667
2025-03-19,"ATAZAR, EL",77.27272727272727
2025-03-09,MÓSTOLES,77.25
2025-03-21,PARLA,77.16666666666667
2025-03-23,ORUSCO DE TAJUÑA,77.04166666666667
2025-03-21,COLLADO VILLALBA,76.875
2025-03-19,ARANJUEZ,76.83333333333333
2025-03-12,"ATAZAR, EL",76.7
2025-03-18,ORUSCO DE TAJUÑA,76.58333333333333
2025-03-08,VILLA DEL PRADO,76.58333333333333
2025-03-22,TORREJÓN DE ARDOZ,76.54166666666667
2025-03-14,"ATAZAR, EL",76.54166666666667
2025-03-09,ARGANDA DEL REY,76.54166666666667
2025-03-16,"ATAZAR, EL",76.54166666666667
2025-03-20,VALDEMORO,76.375
2025-03-09,GUADALIX DE LA SIERRA,76.375
2025-03-25,ALGETE,76.33333333333333
2025-03-14,GUADALIX DE LA SIERRA,76.29166666666667
2025-03-29,ARGANDA DEL REY,76.25
2025-03-21,"ROZAS, LAS",76.20833333333333
2025-03-23,ALGETE,76.20833333333333
2025-03-19,TORREJÓN DE ARDOZ,76.125
2025-03-10,ORUSCO DE TAJUÑA,76.08333333333333
2025-03-06,VILLAREJO DE SALVANÉS,76.04166666666667
2025-03-22,ARANJUEZ,75.95833333333333
2025-03-22,VALDEMORO,75.91666666666667
2025-03-21,ALCORCÓN,75.91666666666667
2025-03-16,COLMENAR VIEJO,75.91666666666667
2025-03-10,VILLAREJO DE SALVANÉS,75.91666666666667
2025-03-08,"ROZAS, LAS",75.83333333333333
2025-03-22,PARLA,75.79166666666667
2025-03-20,PARLA,75.70833333333333
2025-03-21,FUENLABRADA,75.66666666666667
2025-03-14,RIVAS-VACIAMADRID,75.58333333333333
2025-03-22,VILLA DEL PRADO,75.45833333333333
2025-03-27,VILLA DEL PRADO,75.45833333333333
2025-03-06,"ATAZAR, EL",75.43478260869566
2025-03-23,COLLADO VILLALBA,75.41666666666667
2025-03-23,"ROZAS, LAS",75.41666666666667
2025-03-14,TORREJÓN DE ARDOZ,75.41666666666667
2025-03-22,MAJADAHONDA,75.25
2025-03-04,ORUSCO DE TAJUÑA,75.125
2025-03-14,VILLAREJO DE SALVANÉS,75.0909090909091
2025-03-25,GUADALIX DE LA SIERRA,74.95833333333333
2025-03-20,ALCORCÓN,74.875
2025-03-21,ALCALÁ DE HENARES,74.75
2025-03-22,SAN SEBASTIÁN DE LOS REYES,74.70833333333333
2025-03-08,MAJADAHONDA,74.66666666666667
2025-03-26,COLMENAR VIEJO,74.63636363636364
2025-03-20,TORREJÓN DE ARDOZ,74.625
2025-03-15,VILLAREJO DE SALVANÉS,74.54166666666667
2025-03-04,"ATAZAR, EL",74.5
2025-03-09,ALGETE,74.5
2025-03-23,VILLAREJO DE SALVANÉS,74.45833333333333
2025-03-11,COLMENAR VIEJO,74.45833333333333
2025-03-01,"ATAZAR, EL",74.41666666666667
2025-03-04,COLMENAR VIEJO,74.41666666666667
2025-03-08,ALCORCÓN,74.375
2025-03-06,ORUSCO DE TAJUÑA,74.375
2025-03-02,"ATAZAR, EL",74.33333333333333
2025-03-22,"ROZAS, LAS",74.33333333333333
2025-03-21,SAN SEBASTIÁN DE LOS REYES,74.29166666666667
2025-03-29,MAJADAHONDA,74.29166666666667
2025-03-20,"ROZAS, LAS",74.19047619047619
2025-03-23,MAJADAHONDA,74.125
2025-03-10,"ATAZAR, EL",74.125
2025-03-22,FUENLABRADA,74.0
2025-03-08,ALCALÁ DE HENARES,74.0
2025-03-30,MAJADAHONDA,73.95652173913044
2025-03-20,FUENLABRADA,73.91666666666667
2025-03-14,MÓSTOLES,73.9047619047619
2025-03-30,"ROZAS, LAS",73.83333333333333
2025-03-08,VALDEMORO,73.83333333333333
2025-03-15,COLMENAR VIEJO,73.75
2025-03-22,ALCOBENDAS,73.625
2025-03-16,ORUSCO DE TAJUÑA,73.45833333333333
2025-03-21,GETAFE,73.41666666666667
2025-03-16,ALGETE,73.375
2025-03-18,VILLAREJO DE SALVANÉS,73.29166666666667
2025-03-03,VILLAREJO DE SALVANÉS,73.25
2025-03-22,ALCORCÓN,73.16666666666667
2025-03-30,SAN MARTÍN DE VALDEIGLESIAS,73.08333333333333
2025-03-07,ORUSCO DE TAJUÑA,73.0
2025-03-20,COLLADO VILLALBA,73.0
2025-03-14,ARANJUEZ,72.91666666666667
2025-03-13,COLMENAR VIEJO,72.79166666666667
2025-03-23,GUADALIX DE LA SIERRA,72.79166666666667
